:START_ID,:TYPE,:END_ID,wikiID
Q268547,subclassOf,Q83180,P279
Q2184715,subclassOf,Q2424752,P279
Q10675206,subclassOf,Q214609,P279
Q28797,subclassOf,Q336,P279
Q796635,subclassOf,Q2424752,P279
Q25519785,subclassOf,Q18643213,P279
Q39546,subclassOf,Q35825432,P279
Q622805,instanceOf,Q16521,P31
Q14524031,subclassOf,Q1333024,P279
Q190403,instanceOf,Q2235308,P31
Q1364,subclassOf,Q24060707,P279
Q2151621,subclassOf,Q159810,P279
Q182940,subclassOf,Q2095,P279
Q1566584,subclassOf,Q522648,P279
Q1395006,subclassOf,Q207822,P279
Q1229765,subclassOf,Q42889,P279
Q66310125,subclassOf,Q1310239,P279
Q1629107,subclassOf,Q106106,P279
Q61989482,subclassOf,Q987767,P279
Q56147060,subclassOf,Q39546,P279
Q28813620,subclassOf,Q99527517,P279
Q7194062,subclassOf,Q11019,P279
Q58778,subclassOf,Q6671777,P279
Q14745,subclassOf,Q2424752,P279
Q181055,subclassOf,Q2957687,P279
Q38672,subclassOf,Q2625603,P279
Q36161,subclassOf,Q217594,P279
Q628858,subclassOf,Q13226383,P279
Q159810,subclassOf,Q1639378,P279
Q931447,subclassOf,Q210729,P279
Q2266685,instanceOf,Q34698,P31
Q39322,instanceOf,Q39367,P31
Q6667323,subclassOf,Q25265,P279
Q7406919,subclassOf,Q58415929,P279
Q35825432,subclassOf,Q35120,P279
Q39201,subclassOf,Q622852,P279
Q78987,subclassOf,Q55738960,P279
Q200764,subclassOf,Q213441,P279
Q16529344,subclassOf,Q7556,P279
Q4936952,subclassOf,Q27043948,P279
Q24017414,instanceOf,Q24017465,P31
Q13226383,subclassOf,Q2221906,P279
Q16686448,subclassOf,Q488383,P279
Q151885,instanceOf,Q23958852,P31
Q102074988,subclassOf,Q15710813,P279
Q22676,subclassOf,Q161928,P279
Q105738,subclassOf,Q2425052,P279
Q27480917,subclassOf,Q1485500,P279
Q38904,subclassOf,Q144,P279
Q65138712,subclassOf,Q18498,P279
Q99527517,subclassOf,Q35120,P279
Q11016,subclassOf,Q28797,P279
Q1483757,subclassOf,Q2151621,P279
Q182940,subclassOf,Q14915034,P279
Q402885,instanceOf,Q16521,P31
Q29651224,subclassOf,Q488383,P279
Q1190554,subclassOf,Q26907166,P279
Q184358,subclassOf,Q107425,P279
Q3966,subclassOf,Q2858615,P279
Q185167,instanceOf,Q16521,P31
Q1836700,subclassOf,Q2424752,P279
Q53617407,subclassOf,Q35758,P279
Q63247926,subclassOf,Q7590,P279
Q16887380,subclassOf,Q28813620,P279
Q1299240,subclassOf,Q2133296,P279
Q223557,subclassOf,Q4406616,P279
Q796635,subclassOf,Q69016679,P279
Q1184840,subclassOf,Q18643213,P279
Q24027515,instanceOf,Q24027526,P31
Q56887437,instanceOf,Q24017414,P31
Q23958852,instanceOf,Q23958852,P31
Q3249551,subclassOf,Q1190554,P279
Q1485500,subclassOf,Q337060,P279
Q19603939,subclassOf,Q8205328,P279
Q25170208,instanceOf,Q16521,P31
Q213441,subclassOf,Q43229,P279
Q2235308,instanceOf,Q19478619,P31
Q614379,subclassOf,Q76419950,P279
Q488383,subclassOf,Q35120,P279
Q7377,subclassOf,Q729,P279
Q2184715,subclassOf,Q28877,P279
Q5280486,subclassOf,Q12639,P279
