n13133613:ear Q147398
n04596742:wok Q208364
n01855672:goose Q16529344
n04515003:upright Q2266685
n02747177:ashcan Q216530
n02129165:lion Q140
n02219486:ant Q7386
n03924679:photocopier Q185369
n03017168:chime Q5099323
n02114548:white_wolf Q65138712
n04067472:reel Q1420806
n07613480:trifle Q616601
n01930112:nematode Q5185
n01910747:jellyfish Q30178
n02966193:carousel Q208322
n04146614:school_bus Q58678
n02457408:three-toed_sloth Q185167
n02823428:beer_bottle Q23668
n04258138:solar_dish Q61954404
n04435653:tile_roof Q268547
n03047690:clog Q167633
n03998194:prayer_rug Q956956
n02174001:rhinoceros_beetle Q644309
n02971356:carton Q3444710
n03127925:crate Q605384
n03770439:miniskirt Q230823
n04522168:vase Q191851
n02606052:rock_beauty Q729897
n01704323:triceratops Q14384
n07697537:hotdog Q181055
n02687172:aircraft_carrier Q17205
n04296562:stage Q194428
n03476684:hair_slide Q1566584
n13054560:bolete Q1969349
n02138441:meerkat Q134015
n04243546:slot Q33972
n02091244:Ibizan_hound Q37755
n02981792:catamaran Q190403
n02871525:bookshop Q200764
n03220513:dome Q12493
n03584254:iPod Q9479
n02091831:Saluki Q39108
n04443257:tobacco_shop Q16406
n03337140:file Q1629107
n01843383:toucan Q1325045
n01532829:house_finch Q25170208
n02950826:cannon Q81103
n04149813:scoreboard Q614379
n03146219:cuirass Q182731
n04418357:theater_curtain Q945148
n09246464:cliff Q107679
n02110063:malamute Q21206
n03062245:cocktail_shaker Q1105339
n04251144:snorkel Q13389713
n03527444:holster Q1475429
n04389033:tank Q12876
n02074367:dugong Q129544
n09256479:coral_reef Q11292
n03888605:parallel_bars Q692104
n03773504:missile Q974850
n03908618:pencil_box Q596566
n04509417:unicycle Q223924
n02108551:Tibetan_mastiff Q39322
n01981276:king_crab Q1861297
n02443484:black-footed_ferret Q402885
n03207743:dishrag Q1370169
n03272010:electric_guitar Q78987
n02108089:boxer Q38496
n07747607:orange Q13191
n01749939:green_mamba Q622805
n03775546:mixing_bowl Q48628631
n02116738:African_hunting_dog Q173651
n02101006:Gordon_setter Q38301
n02108915:French_bulldog Q29149
n03535780:horizontal_bar Q623270
n03347037:fire_screen Q3578987
n03400231:frying_pan Q127666
n02105505:komondor Q38675
n02113712:miniature_poodle Q38904
n03075370:combination_lock Q2374786
n02165456:ladybug Q25327
n03417042:garbage_truck Q20463
n07584110:consomme Q2082064
n02120079:Arctic_fox Q82738
n02110341:dalmatian Q17504
n04612504:yawl Q1137441
n02089867:Walker_hound Q38923
n03676483:lipstick Q184191
n01770081:harvestman Q2392905
n04275548:spider_web Q188691
n02099601:golden_retriever Q38686
n02111277:Newfoundland Q38706
n03838899:oboe Q8377
n03544143:hourglass Q179904
n04604644:worm_fence Q7578604
n01558993:robin Q460967
n03980874:poncho Q468794
n02795169:barrel Q10289
n03854065:organ Q1444
n06794110:street_sign Q1969455
