n03047690:clog Q167633
n04258138:solar_dish Q61954404
n03980874:poncho Q468794
n02108915:French_bulldog Q29149
n03676483:lipstick Q184191
n03535780:horizontal_bar Q623270
n07584110:consomme Q2082064
n04067472:reel Q1420806
n04443257:tobacco_shop Q16406
n02114548:white_wolf Q65138712
n09246464:cliff Q107679
n03544143:hourglass Q179904
n02091244:Ibizan_hound Q37755
n02981792:catamaran Q190403
n09256479:coral_reef Q11292
n03924679:photocopier Q185369
n04243546:slot Q33972
n03347037:fire_screen Q3578987
n03908618:pencil_box Q596566
n03417042:garbage_truck Q20463
n04612504:yawl Q1137441
n03838899:oboe Q8377
n04418357:theater_curtain Q945148
n02129165:lion Q140
n03146219:cuirass Q182731
n02113712:miniature_poodle Q38904
n04149813:scoreboard Q614379
n02823428:beer_bottle Q23668
n02871525:bookshop Q200764
n03062245:cocktail_shaker Q1105339
n04146614:school_bus Q58678
n03272010:electric_guitar Q78987
n07697537:hotdog Q181055
n02795169:barrel Q10289
n03400231:frying_pan Q127666
n07747607:orange Q13191
n03998194:prayer_rug Q956956
n02747177:ashcan Q216530
n01855672:goose Q16529344
n04596742:wok Q208364
n04522168:vase Q191851
n02099601:golden_retriever Q38686
n03220513:dome Q12493
n03017168:chime Q5099323
n06794110:street_sign Q1969455
n03584254:iPod Q9479
n03337140:file Q1629107
n03207743:dishrag Q1370169
n03476684:hair_slide Q1566584
n02687172:aircraft_carrier Q17205
n02950826:cannon Q81103
n13133613:ear Q147398
n03075370:combination_lock Q2374786
n03854065:organ Q1444
n02219486:ant Q7386
n02971356:carton Q3444710
n04509417:unicycle Q223924
n02110341:dalmatian Q17504
n07613480:trifle Q616601
n03775546:mixing_bowl Q48628631
n02108089:boxer Q38496
n04296562:stage Q194428
n04389033:tank Q12876
n03773504:missile Q974850
n02966193:carousel Q208322
n03127925:crate Q605384
n03770439:miniskirt Q230823
n04275548:spider_web Q188691
n02110063:malamute Q21206
n04251144:snorkel Q13389713
n04435653:tile_roof Q268547
n03888605:parallel_bars Q692104
