wikiID:ID,content,:LABEL
Q50821977,"('electro-acoustic instruments', 'class of musical instruments')",Common_Node
Q207822,"('packaging and labeling', 'enclosure or protection of products for distribution, storage, and sale')",Common_Node
Q1798603,"('string instrument', 'musical instrument that generates tones by one or more strings stretched between two points')",Common_Node
Q28803,"('sandwich', 'two slices of bread with filling in between them')",Common_Node
Q1521410,"('kitchenware', 'tools, utensils, appliances, dishes, and cookware, that can be used in the process of food preparation, cooking or baking, or the serving of food, or to hold or store food before or after preparation')",Common_Node
Q16334298,"('group of living things', 'set of live physical entities of any nature')",Common_Node
Q31808206,"('covering', 'furnishing, often of textile material, made to overlay an object for protection or decoration')",Common_Node
Q28921572,"('common matter', 'matter, explicitly excluding any antimatter; physical substance containing neither non-matter nor antimatter; koinomatter; common matter')",Common_Node
Q156428,"('inflorescence', 'Term used in botany to describe a cluster of flowers')",Common_Node
Q214609,"('material', 'substance that can occur in different amounts, all with some similar [mixture of some] characteristics, and of which objects can be made up')",Common_Node
Q29651224,"('natural object', 'naturally occurring object in a natural state, without modification by human effort')",Common_Node
Q1395006,"('cardboard box', 'box fabricated from cardboard')",Common_Node
Q22809652,"('manufactured object', 'in the strict sense, object made by humans with their hands')",Common_Node
Q31807746,"('furnishing', 'works that facilitate human activity and to provide for physical needs of people in or around a building generally by offering comfort, convenience, or protection')",Common_Node
Q167633,"('clog', 'thick-soled protective footwear made of wood')",Class_Node
Q217594,"('class', 'collection of sets in mathematics that can be defined based on a property of its members')",Common_Node
Q38675,"('komondor', 'dog breed')",Class_Node
Q28728771,"('material substance', 'substance composed (entirely) of any combination of matter and/or antimatter')",Common_Node
Q38301,"('Gordon_setter', 'dog breed')",Class_Node
Q286583,"('manifestation', 'physical embodiment of an information artifact')",Common_Node
Q7406919,"('service', 'activity that directly satisfies wants without producing a lasting asset')",Common_Node
Q1357761,"('utensil', 'tool to help using something')",Common_Node
Q130368,"('armored fighting vehicle', 'combat vehicle designed with both armament and armored protection')",Common_Node
Q107425,"('landscape', 'visible features of an area of land')",Common_Node
Q35758,"('matter', 'substance that has rest mass and volume, or several other definitions')",Common_Node
Q56052926,"('building division', 'element developed originally or primarily as portions of architecture, often adapted to other habitable spaces, such as in large vehicles, and often borrowed or imitated for structural or decorative use on other objects')",Common_Node
Q5082128,"('mobile device', 'small, hand-held computing device')",Common_Node
Q61954404,"('solar_dish', 'technology used in concentrated solar power stations')",Class_Node
Q752870,"('motor vehicle', 'self-propelled wheeled vehicle')",Common_Node
Q153556,"('ranged weapon', 'weapon used to harm or kill at greater distances than that of direct hand-to-hand combat')",Common_Node
Q2695280,"('technique', 'sum of techniques, skills, methods, and processes used in the production of goods or services or in the accomplishment of objectives, such as scientific investigation')",Common_Node
Q28877,"('goods', 'tangible and intangible thing, except labor tied services, that satisfies human wants and provides utility')",Common_Node
Q811430,"('human-made geographic feature', 'artificial construction meant to remain at a fixed geographic location')",Common_Node
Q1087850,"('parabolic reflector', 'reflector / collector that has the shape of a paraboloid')",Common_Node
Q391414,"('architectural element', 'forms primarily as components of architecture')",Common_Node
Q213441,"('shop', 'place where items or services are sold')",Common_Node
Q14524031,"('protective clothing', 'garments worn for protection against dirt or danger')",Common_Node
Q65037298,"('optical component', 'component used to affect light in an optical system')",Common_Node
Q1756942,"('partial function', 'binary relation whose actual domain may be smaller than its apparent domain')",Common_Node
Q58416391,"('spatial entity', 'thing occupying some space, entity that can be contained within a region of space')",Common_Node
Q34698,"('adjective', 'part of speech that describes a noun or pronoun')",Common_Node
Q39322,"('Tibetan_mastiff', 'dog breed')",Class_Node
Q468794,"('poncho', 'cape- or blanket-like outer garment')",Class_Node
Q930933,"('relation', 'general relation between different objects or individuals')",Common_Node
Q64830866,"('physical interface', 'specific physical means by which two items interact')",Common_Node
Q82604,"('design', 'creation of a plan or convention for the construction of an object or a system; process of creation; act of creativity and innovation')",Common_Node
Q64418,"('artillery', 'weapon designed to launch projectiles beyond normal infantry weapon range')",Common_Node
Q25265,"('Felidae', 'family of mammals in the order of carnivorans')",Common_Node
Q144,"('dog', 'domestic animal')",Common_Node
Q5936788,"('human-powered land vehicle', 'land vehicles propelled over ground by human power')",Common_Node
Q748611,"('finger food', 'food to be consumed without utensils')",Common_Node
Q15989253,"('part', 'separate element of a larger (divisible or indivisible) entity')",Common_Node
Q2120578,"('zero-emissions vehicle', 'vehicle that emits no tailpipe pollutants from the onboard source of power')",Common_Node
Q182940,"('dessert', 'course that concludes a meal; usually very sweet')",Common_Node
Q41415,"('soup', 'primarily liquid food')",Common_Node
Q23808,"('interface', 'concept of computer science; point of interaction between two things')",Common_Node
Q27166344,"('substance', 'any composed matter whose origin is either biological, chemical, or mineral')",Common_Node
Q6671777,"('structure', 'arrangement and organization of interrelated elements in an object or system, or the object or system so organized')",Common_Node
Q839546,"('machine element', 'elementary component of a machine')",Common_Node
Q2184715,"('durable good', 'good that does not quickly wear out')",Common_Node
Q82738,"('Arctic_fox', 'species of mammal')",Class_Node
Q8205328,"('artificial physical object', 'physical object made or shaped by human hand')",Common_Node
Q3300034,"('painting material', 'painting or drawing equipment that serves as a convey medium for colour')",Common_Node
Q24017414,"('second-order class', 'metaclass whose instances are classes of individuals')",Common_Node
Q29149,"('French_bulldog', 'dog breed')",Class_Node
Q35145263,"('natural geographic object', 'geographical object created by natural causes')",Common_Node
Q322481,"('size', 'magnitude or dimension of a thing; concept abstracted from the process of measuring by comparing a longer to a shorter or vice versa')",Common_Node
Q5280486,"('struck idiophone', 'class of musical instruments')",Common_Node
Q1299240,"('interior space', 'space inside')",Common_Node
Q655686,"('commercial building', 'buildings associated with any aspect of the various activities and business relationships of industry and trade')",Common_Node
Q50380212,"('floating object', 'object that floats')",Common_Node
Q2625603,"('population', 'ensemble of individuals of a species in an area, or their number')",Common_Node
Q796635,"('linens', 'fabric household goods intended for daily use')",Common_Node
Q16686022,"('natural physical object', 'natural physical object')",Common_Node
Q3314483,"('fruit', 'food, edible in the raw state')",Common_Node
Q7194062,"('flying machine', 'machine that can fly, including aircraft, spacecraft, rocket, missile')",Common_Node
Q3773693,"('kitchen utensil', 'small hand-held tool used for food preparation')",Common_Node
Q184191,"('lipstick', 'cosmetic for coloring the lips')",Class_Node
Q55738960,"('electro-acoustic chordophones', 'class of musical instruments')",Common_Node
Q623270,"('horizontal_bar', ""apparatus used in men's artistic gymnastics"")",Class_Node
Q2858615,"('electronic machine', 'electric device where the main functionality is provided by electronic circuits')",Common_Node
Q19478619,"('metaclass', 'in knowledge representation, a class which has instances that are themselves classes')",Common_Node
Q16686448,"('artificial entity', 'anything created by humans (either material or mental)')",Common_Node
Q2082064,"('consomme', 'a type of clear soup')",Class_Node
Q55724840,"('necked box lutes', 'class of musical instruments')",Common_Node
Q2160801,"('skirt', 'type of clothing worn from the waist downwards')",Common_Node
Q728,"('weapon', 'tool used to inflict damage or harm')",Common_Node
Q1293220,"('physical phenomenon', 'phenomenon of the material world')",Common_Node
Q27480917,"('Perennial crops (CPA 2008)', 'Perennial crops (CPA 2008)')",Common_Node
Q1420806,"('reel', 'hokey')",Class_Node
Q56656227,"('animal shelter created by an animal', 'animal shelter created by an animal')",Common_Node
Q11435,"('liquid', 'liquid object')",Common_Node
Q17988854,"('move', 'act of moving')",Common_Node
Q24027515,"('fifth-order class', 'type of metaclass')",Common_Node
Q2264369,"('front curtain', 'stage curtain(s) at the very front of a theatrical stage')",Common_Node
Q24017465,"('third-order class', 'metaclass whose instances are classes of classes of individuals')",Common_Node
Q16406,"('tobacco_shop', 'dealer in tobacco')",Class_Node
Q11016,"('technology', 'making, modification, usage, and knowledge of tools, machines, techniques, crafts, systems, and methods of organization')",Common_Node
Q5638,"('bus', 'large road vehicle for transporting people')",Common_Node
Q133163,"('percussion instrument', 'type of musical instrument that produces a sound by directly hitting it')",Common_Node
Q24027474,"('fourth-order class', 'metaclass whose instances are classes of classes of classes of individuals')",Common_Node
Q34379,"('musical instrument', 'sound-producing object used by a musician for this purpose')",Common_Node
Q9332,"('behavior', 'way that one acts in different situations')",Common_Node
Q28367692,"('cavity', 'empty space within a solid object')",Common_Node
Q11019,"('machine', 'tool containing one or more parts that uses energy to perform an intended action')",Common_Node
Q67518233,"('process', 'an occurrent that exists in time by occurring or happening, has temporal parts and always involves and depends on some entity')",Common_Node
Q56761669,"('concentrated solar power', 'technology which uses mirrors or lenses to concentrate a large area of solar energy onto a small area')",Common_Node
Q595658,"('velocipede', 'human-powered land vehicle with one or more wheels')",Common_Node
Q55738860,"('single oboes with conical bore', 'class of musical instruments')",Common_Node
Q58415929,"('spatio-temporal entity', 'thing that can be contained within a region of space-time, or variation of its state in space or time')",Common_Node
Q47146,"('user interface', 'means by which a user interacts with and controls a machine')",Common_Node
Q173651,"('African_hunting_dog', 'species of canid native to Sub-Saharan Africa')",Class_Node
Q65138712,"('white_wolf', 'wolf with white fur')",Class_Node
Q4026292,"('action', 'something an agent can do or perform')",Common_Node
Q6607,"('guitar', 'fretted string instrument')",Common_Node
Q20937557,"('series', 'ordered set of similar objects')",Common_Node
Q861259,"('painting surface', 'material which forms the surface on which a painting of picture is applicated, for example canvas or paper')",Common_Node
Q39367,"('dog breed', 'group of closely related and visibly similar domestic dogs')",Common_Node
Q2741056,"('cabinet', 'box-shaped piece of furniture with doors or drawers for storing miscellaneous items')",Common_Node
Q7590,"('transport', 'human-directed movement of things or people between locations')",Common_Node
Q66310125,"('nonbiological component', 'nonbiological component')",Common_Node
Q26037047,"('culinary equipment', 'tool or equipment used in preparing, storing, cooking, or serving food')",Common_Node
Q4936952,"('anatomical structure', ""entity with a single connected inherent 3D shape that's created by coordinated expression of the organism's own DNA"")",Common_Node
Q12639,"('idiophone', 'class of musical instruments')",Common_Node
Q19361238,"('Wikidata metaclass', 'class of classes, class whose instances are classes')",Common_Node
Q987767,"('container', 'any receptacle for holding a product used in storage, packaging, and shipping')",Common_Node
Q27043950,"('anatomical entity', ""biological entity that's either member of a species or a unit of its structural organization"")",Common_Node
